MiMoText Label (fr)	MiMoText Label (en)	MiMoText Label (de)
allégorie	allegory	Allegorie
analyses des passions	analysis of passions	Analyse von Gefühlen
ambiguïté 	ambiguity 	Mehrdeutigkeit 
considérations politiques	political considerations	politische Überlegungen
critique	criticism	Kritik
didactique	didactics	Didaktik
discussions littéraires	literary discussions	literarische Diskussionen
éléments (pseudo-)historiques	(pseudo-)historical elements	(pseudo-)historische Elemente
comique	comic	Komik
morale	moral	Moral
philosophie	philosophy	Philosophie
satire	satire	Satire
